#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP
385,Yoan Lopez,ARI,RP,R,15.0,0.0,0.0,58.8,13.5,0.6,0.7,0,3,4.65,3.86,1.41,12.1,5.6,13.5,0.5,7.0,7.5,2,41.6,34.6,21.1,0.298
386,Edinson Volquez,TEX,RP,R,9.0,0.0,0.0,58.5,13.5,0.7,0.6,0,1,4.48,3.76,1.40,12.4,5.6,13.3,0.5,6.7,7.2,2,45.7,33.8,20.5,0.301
387,David Hess,BAL,RP,R,9.0,0.0,0.0,58.2,13.5,0.6,0.7,0,1,5.01,3.63,1.35,12.8,4.5,13.7,0.5,7.4,7.9,3,35.5,44.0,20.6,0.288
388,Dillon Tate,BAL,RP,R,9.0,0.0,0.0,58.8,13.5,0.6,0.7,0,1,4.71,3.84,1.42,10.5,4.8,14.4,0.8,7.0,7.5,2,50.2,29.3,20.6,0.301
389,Brad Brach,NYM,RP,R,15.0,0.0,0.0,58.4,13.5,0.6,0.7,0,2,4.29,3.76,1.38,13.4,5.9,12.8,0.4,6.4,6.9,2,42.2,34.9,20.2,0.296
390,Grant Dayton,ATL,RP,L,13.2,0.0,0.0,56.1,13.2,0.7,0.6,0,1,4.11,3.36,1.28,14.2,4.7,12.2,0.5,6.1,6.5,2,36.0,40.3,21.0,0.288
391,Mike Mayers,LAA,RP,R,13.2,0.0,0.0,56.8,13.2,0.7,0.6,0,1,4.41,3.78,1.32,12.3,4.7,12.7,0.5,6.5,7.0,2,40.9,39.1,20.0,0.288
392,Francisco Liriano,PIT,RP,L,12.0,0.0,0.0,57.9,13.2,0.6,0.7,0,2,4.39,3.89,1.45,12.5,6.0,13.0,0.6,6.3,6.9,2,45.6,30.4,21.4,0.305
393,Sterling Sharp,MIA,RP,R,13.2,0.0,0.0,56.9,13.2,0.6,0.7,0,1,4.05,3.74,1.39,9.8,4.4,13.8,0.6,5.9,6.5,1,54.1,23.3,19.9,0.304
394,Tanner Scott,BAL,RP,L,13.2,0.0,0.0,56.5,13.2,0.7,0.6,0,2,3.75,3.29,1.37,16.1,7.0,11.1,0.5,5.4,5.9,2,49.4,30.1,20.6,0.301
